"dummy","dummy"
"Registration was successful. Excel is now linked to your store. The service is now being set up for the first use. This process can take some time. Once done,  you will receive an email with further information.","Inscription réussie. Excel est maintenant lié à votre magasin. Le service est actuellement mis en place pour la première utilisation. Ce processus peut prendre un certain temps. Une fois cela fait, vous recevrez un email avec plus d'informations."
".htaccess",".htaccess"
".htaccess user","Utilisateur"
".htaccess password","Mot de passe"
"CobbyVersion","Version"
"General Settings","Paramètres généraux"
"License key","Clé d'activation"
"The license key will be sent via email.","La clé d'activation va vous être envoyée par email."
"Contact Email","Email de contact"
"All cobby notifications will be sent to the Contact Email.","Toutes les notifications de cobby vont être envoyées à l'Email de contact."
"Notifictaions for rebuilt indexes, Errors,  available cobby Updates and more will be sent to this Email. No Newsletter or commercials.","Les notifications pour les reconstructions d'indexes, erreurs, mises à jour disponibles et autres informations seront envoyées à cet Email. Aucune newsletter ni contact commercial."
"Choose Web Service User","Sélectionner Utilisateur Service Web"
"Use Existing","Utiliser Existante"
"Create New","Créer nouveau"
"Use an existing webservice user with ACL right for cobby or create a new user.","Utiliser un service web existant avec droit ACL pour cobby ou créer nouvel utilisateur."
"User Name","Nom Utilisateur"
"API Key","Clé API"
"Only users with ACL for cobby will be shown.","Utilisateurs avec ACL pour cobby seront affichés."
"Fill in the API key of the chosen user.","Compléter la clé API de l'utilisateur choisi."
"The API Key is the password for this user.","La Clé API est le mot de passe pour cet utilisateur."
"User Email","Email Utilisateur"
"It is not necessary to provide an existing Email. No Mails will be sent.","Il n'est pas nécessaire de fournir une adresse email existante. Aucun email ne sera envoyé."
"Advanced","Avancé"
"Overwrite Images","Ecraser Images"
"Overwrite existing images with same names to prevent creation of duplicates.","Ecraser images existantes avec le même nom afin d'éviter les duplications."
"Clear Cache","Purger Cache"
"Clears external cache engines (e.g. Varnish) after product upload. Clears just affected entries. Takes longer especially with product links and many category associations.","Clears external cache engines (e.g. Varnish) after product upload. Clears just affected entries. Takes longer, especially with product links and many category associations."
"Enable logging to collect errors in <strong>Mash2_Cobby.log</strong>","Enable logging to collect errors in <strong>Mash2_Cobby.log</strong>"
"Enable debug logging to also collect debug information in <strong>Mash2_Cobby.log</strong>","Enable debug logging to also collect debug information in <strong>Mash2_Cobby.log</strong>"
"Click <a href="%s">here</a> to set up your account.","Cliquer <a href="%s">here</a> pour mettre en place votre compte."
"cobby Index","cobby"
"cobby Sync Index","Index pour communiquer avec service cobby"
